,latitude,,longitude,distance,bearing
37°15′34″N,37.25939559,127°02′06″E,127.03509292,0.4503,124.216°
37°15′41″N,37.26145653,127°02′06″E,127.03506105,0.3703,93.71°
37°15′41″N,37.2613904,127°01′36″E,127.02652953,0.387,265.359°
37°15′28″N,37.25789729,127°01′40″E,127.02779447,0.5012,213.108°
37°15′36″N,37.26012418,127°01′50″E,127.0306858,0.1731,185.907°
37°15′42″N,37.26156547,127°01′52″E,127.03107709,0.0206,125.152°
37°15′54″N,37.26496288,127°01′39″E,127.02750548,0.4728,320.725°
37°15′37″N,37.26039573,127°02′11″E,127.03628407,0.4984,106.546°
37°15′56″N,37.26565209,127°01′39″E,127.02740341,0.5395,325.141°
37°15′50″N,37.26388495,127°01′44″E,127.02888977,0.3031,324.312°
37°15′37″N,37.26014921,127°01′44″E,127.02894709,0.2412,225.396°
37°15′44″N,37.26228181,127°02′02″E,127.03396997,0.2812,76.042°
37°15′54″N,37.26497315,127°01′35″E,127.02630702,0.547,312.167°
37°15′39″N,37.26088818,127°02′04″E,127.03432257,0.3164,105.994°
37°15′49″N,37.26358947,127°02′09″E,127.03569449,0.476,63.381°
37°15′35″N,37.25966827,127°02′10″E,127.03617014,0.5181,115.478°
37°15′33″N,37.25923354,127°02′07″E,127.03530924,0.4762,124.714°
37°15′34″N,37.25934287,127°01′32″E,127.02547279,0.5448,241.61°
37°15′40″N,37.26116983,127°01′27″E,127.02415897,0.5982,264.644°
37°15′59″N,37.26645849,127°01′56″E,127.03212935,0.5436,11.671°
37°15′59″N,37.26648297,127°01′53″E,127.03132827,0.5365,4.175°
37°15′51″N,37.26417475,127°02′06″E,127.03511865,0.4667,53.381°
37°15′49″N,37.26374357,127°01′51″E,127.03075066,0.2307,357.002°
37°15′25″N,37.2568994,127°01′51″E,127.03090324,0.5308,179.845°
37°15′45″N,37.26247358,127°01′29″E,127.02484493,0.5422,279.466°
37°15′43″N,37.26190791,127°01′42″E,127.02820409,0.2389,276.305°
37°15′41″N,37.26125832,127°02′08″E,127.03544483,0.4061,96.505°
37°15′48″N,37.26331619,127°01′52″E,127.03105624,0.1835,4.683°
37°15′38″N,37.26058758,127°01′50″E,127.0305837,0.1236,192.55°
37°15′53″N,37.26483743,127°01′35″E,127.02634884,0.5342,311.234°
37°15′55″N,37.26525533,127°01′45″E,127.0291231,0.4281,338.607°
37°15′44″N,37.26224773,127°01′32″E,127.02549865,0.4813,277.648°
37°15′38″N,37.26069255,127°01′42″E,127.02825432,0.2573,244.947°
37°15′46″N,37.26279169,127°02′09″E,127.0359475,0.465,74.462°
37°15′25″N,37.25694678,127°01′59″E,127.03317606,0.5633,158.914°
37°15′33″N,37.25904877,127°01′48″E,127.03003839,0.3013,194.439°
37°15′37″N,37.26029106,127°01′30″E,127.0250917,0.5355,253.334°
37°15′56″N,37.26554068,127°02′03″E,127.03409484,0.5155,33.42°
37°15′44″N,37.26235077,127°02′05″E,127.03467568,0.3438,77.313°
37°15′51″N,37.26406929,127°01′32″E,127.02562824,0.5365,299.805°
37°15′31″N,37.25859961,127°01′31″E,127.02535065,0.5975,235.115°
37°15′53″N,37.26463938,127°01′38″E,127.02720137,0.4641,315.332°
37°15′51″N,37.2640336,127°01′48″E,127.0300773,0.2723,344.737°
37°15′51″N,37.26423388,127°02′07″E,127.03524912,0.4799,53.574°
37°15′48″N,37.26335719,127°01′51″E,127.03075805,0.1878,356.515°
37°15′56″N,37.26546087,127°01′53″E,127.03126237,0.4227,4.508°
37°15′44″N,37.26212789,127°01′43″E,127.0286578,0.2037,284.412°
37°15′53″N,37.26458613,127°01′47″E,127.02972751,0.34,342.429°
37°15′38″N,37.26064731,127°01′37″E,127.02707227,0.3564,251.351°
37°15′49″N,37.26353166,127°01′35″E,127.02637147,0.4501,297.361°
37°15′34″N,37.25941019,127°02′09″E,127.0359473,0.5138,119.317°
